userId,category,avg_bill
2c6336a2-852b-48af-9150-9b9030387f5d,fish,432.0
1085e67c-3c4e-4903-b3e9-16631132c655,other,620.0
99792dfd-8c62-4903-92b2-a83dfd392cb1,sweets,233.0
ad50b3da-da8d-4b35-92c3-79cf83c2250a,fish,594.0
a300c8a3-6280-4a59-8c89-be4212a4eb26,fruits,0.0
0ceeb59c-a91c-4cf4-8bf8-3593f12722b9,alcohol,602.0
b2a565e5-c3e2-4547-b075-d4ddedcc5506,alcohol,564.0
32fe3522-090a-4faa-b265-bc763142f0f5,meat,468.0
203e70de-1092-4cac-9234-9c68224a3185,sweets,55.0
df7140d3-27e9-43b2-8ed4-f5d3210eb636,fruits,795.0
a59ea56b-2057-43c5-90bd-714d4aba4413,sweets,0.0
b5807144-00f4-4dc5-bbaf-d20660574634,sweets,0.0
ef143b15-65f4-4a8b-9a00-c3425bdc38f5,other,462.0
5b06eeec-ac6f-4615-b79a-3cf3bae654c3,fish,216.0
e71ee04d-5b6e-4e72-a7d8-10c974e59017,meat,126.0
e2a41371-a91e-4683-a71a-0a7b83840a9b,fish,216.0
9343e961-e58f-45a8-ae6b-b3117325ce5a,meat,585.0
b3e37e2c-f821-4885-9221-e8b172ab2fb5,sweets,204.0
79628711-52d2-43a6-80ef-0119c432e471,vegetables,338.0
caecef1f-827c-45b1-a501-4c3a6bf5c584,vegetables,0.0
320ef016-dfd6-4f29-bab5-d2cf8015156c,sweets,307.0
dfc00ffd-1c0e-499b-ab4a-7a8603026757,sweets,14.0
ed797745-f475-449b-9f04-2fccee79cda4,meat,126.0
0096a1d7-e05b-453e-babd-7da9fa4160a6,other,1532.0
7c6a5269-849b-449d-9659-d9bcdd2e3f42,alcohol,485.0
b9023bf2-31ba-43be-a76d-c12c7a489153,sweets,308.0
61a4fa2d-b9d4-4149-8a3d-e39818ad298c,meat,0.0
996588f0-d952-4574-8329-e7b156c54e27,vegetables,0.0
671e14c8-5077-4386-bbeb-a775e3a84edc,alcohol,637.0
6215fecd-95cb-43d9-9ce8-fbe54d54c6a1,fruits,90.0
142c777f-9bd0-43e7-966b-c0accb95e4c5,sweets,36.0
efa65bb4-8829-4acd-aab5-528687256ab5,fruits,30.0
0511c65a-ee31-451e-99af-81f38bc8bb24,other,25.0
ac703808-bfeb-4bd2-a091-7e77a4dcb8c6,fish,108.0
c1a49039-5fec-4152-a6b3-d6eef174d4fd,meat,81.0
cf6ca4a2-f9f0-45c9-b0e1-1eb2fc2461fb,alcohol,1057.0
edd7efd1-ef27-4163-857b-eb4e3cdc5e54,alcohol,-10.0
cc1e997d-9dcf-44b1-83be-886768eb2914,other,887.0
1b5c4180-a7bf-4feb-98f8-7bf168294432,meat,126.0
b8fd098f-3ff4-4062-a13a-a19f63546ae3,alcohol,-10.0
3cee248d-e783-4d7d-bf31-93e23771172d,other,14.0
33ef8a4e-d4e1-4636-bcea-1e68adef3e11,fruits,240.0
e76b01da-61df-47e5-bf69-31497f6e386a,alcohol,-10.0
6444d49f-256c-472b-8cc6-336538dda9ac,fruits,1035.0
37232098-83f3-45f2-a563-d2a858a35afd,alcohol,977.0
e45f053d-aff3-4710-a1a4-b72d1495c66d,vegetables,2417.0
d6321c90-6923-4d2a-881b-da740b296ce9,sweets,0.0
aa460c07-e33e-47fa-9a40-2584cad6a4e2,fruits,0.0
dfcd12d2-4ca9-4975-baf3-fd30ab732d66,vegetables,277.0
0b48e8cd-a1df-4ba0-b6e3-61fd134567ff,vegetables,252.0
c478f59a-e71f-4940-be0c-a16cecf273d4,meat,
88665fa3-3b1a-4134-ad6a-9ce82d40492f,other,25.0
8dc9db77-d3df-4eb0-90fc-872c406ef0fc,sweets,40.0
47930aed-57ee-45de-91ac-8e83c280fc7d,meat,99.0
61b43eb7-49a0-4515-9b89-f580544be744,meat,411.0
d6c01e33-e2b0-444b-a56e-3d6b57e73099,meat,
046d8d69-17e8-4646-878f-69f485792d6b,vegetables,294.0
28b361e9-06b5-4ae4-8cbe-190591c01dae,other,180.0
68eafe26-79e5-4371-a5c6-a215b05f892b,fruits,2850.0
f67965c2-7332-46d2-a74b-c9300138311e,fish,432.0
5ff1bcee-f027-437a-88f7-09313e44e5d6,meat,81.0
8e18d65f-d015-43d2-8c4f-c4cad22bc01f,meat,
bf368906-ac52-4cc9-b8d4-6831ec391746,alcohol,815.0
bc821c4a-74e3-4c20-a9e6-cb4110cc7e2f,alcohol,-10.0
86511f6d-b804-4cbe-a993-8367d732b529,fish,2106.0
b60834b8-da23-4baf-b15f-f5ad5702a519,fish,0.0
0a4ff5ab-1963-4189-b5a9-ffac36a50376,fruits,0.0
b67e6c2c-82ea-4172-ad45-4c92bb1a116f,fish,594.0
db4b4124-96fc-4134-bce9-c51cded2f293,fruits,180.0
4731a9b5-397f-4b4a-a3b7-29fb966c3037,meat,90.0
314f3cb9-7341-4ab0-a00c-95a3cc4671ef,fish,2700.0
d0b219c4-d199-4f97-b8c2-f2a435870ed1,alcohol,1376.0
b844b103-ecc3-427d-b152-578869641539,fish,1382.0
ebafdad3-ed28-4d4c-9b94-efe471b28d9b,vegetables,1971.0
4ef8c945-5d60-4b84-8b51-7f0bd02694e8,alcohol,1253.0
ad1dea9b-6898-44b9-a10f-07064b7bcf3e,alcohol,827.0
57d6595b-7e57-4d5d-ae26-f672d11fa0d5,meat,27.0
b78534e7-e32e-4e98-b691-532caee77d9f,fruits,360.0
27d2a20e-fb9f-4a60-adb9-643b8742ab04,fish,162.0
e07629cd-eb45-496e-b0fc-e60351078e73,alcohol,832.0
ebf6b39e-a3bc-4865-b39b-6db1a2547d67,sweets,6.0
734fa226-5de4-4c07-adfc-5d5bbcaa9e46,meat,
aa7bde9c-d5c0-480e-a75f-1d12087d1d68,alcohol,1360.0
412285ef-3974-4598-88a0-5c001938dc75,alcohol,1300.0
55f69367-e4a8-4b42-b096-585a3e413543,fruits,990.0
913bc5f1-a720-4135-a86e-207ee35604f6,fish,2544.0
a5fc427d-1d4b-42b2-9b54-c04f70a163f7,meat,
d10313d4-f7b0-482e-863a-de0d4fbd4581,fruits,45.0
f9220dee-e9aa-433e-af5b-ae6c423081ae,vegetables,2648.0
ecfa5288-d269-4fa7-9191-db8bcb3d5891,alcohol,829.0
48e79cc8-9928-48f8-9132-b70c1b3d0a11,sweets,6.0
0ad3ad40-ad3f-4007-a70d-50354f85308d,other,148.0
04b9ecff-3b5e-4c46-b8e3-92099caa4f1e,vegetables,588.0
8ac482c5-e115-4c48-81ea-5a294ed499b8,fruits,0.0
77543284-7e9e-4811-9783-6e4ee6e27d47,meat,162.0
b8bb6e44-738e-43cf-acb5-7b93afbf82d8,vegetables,1124.0
fb8244e4-099e-4c6b-a439-36769716db40,vegetables,677.0
124459f3-f2bc-4065-b17b-2e39a998c545,alcohol,1131.0
52e985e4-6484-45aa-9ecf-5110187832b8,other,25.0
2281a1be-8ce3-46ac-a8fa-013924a0799a,alcohol,668.0
a2961f2e-3a87-4f75-b225-3a65a7260091,fish,2793.0
161e05c3-252b-43a0-9ca4-5ec4fa9328f8,other,5.0
abb251f6-13ab-4723-a92d-2d31cd90ee92,sweets,171.0
754770cd-38e9-4193-8f52-6d4f070e0e66,fish,216.0
58914598-48d1-418a-a602-0cd0b232ee2b,fish,0.0
a9ae88f5-8728-4711-98b9-b3653d67902a,vegetables,954.0
8f8de938-6162-4e89-bc46-39a0e3ad5243,vegetables,0.0
5e5bec92-1b9d-49b3-8b52-b7657947ca2e,alcohol,-10.0
e7fcdf2b-7390-4f98-9240-a64d29a6edc8,other,39.0
2aaaaecc-5462-4806-9497-211563a0090e,sweets,237.0
e76313ce-8ed4-41a2-9432-a2e57ff9732c,other,366.0
60cab5dc-006e-4cdd-9d66-8d66330277fb,fish,1026.0
4c31cb3c-715f-4e61-86f6-aaa68b3afda8,vegetables,294.0
a9fe5ed0-a5e5-44a1-a7f0-81cd6d5cafa5,fish,1026.0
11b3df16-6cdd-4db2-85a5-010879d50073,fruits,390.0
